n,x,y,radius
1.570000000000000000e+02,2.817138131041853344e-02,-1.000307640515404994e+00,1.000704253212922890e+00
1.580000000000000000e+02,-2.184400071535171767e-02,-9.992154404796373957e-01,9.994541794700585458e-01
1.590000000000000000e+02,-7.180477273933358329e-02,-9.956252018426706707e-01,9.982111339453222376e-01
1.600000000000000000e+02,-1.215860328314671279e-01,-9.895459002010973393e-01,9.969875886812707977e-01
1.610000000000000000e+02,-1.710633278415220060e-01,-9.809927338090211890e-01,9.957958655860713604e-01
1.620000000000000000e+02,-2.201129645319730710e-01,-9.699870855824225258e-01,9.946480097761898342e-01
1.630000000000000000e+02,-2.686123188110942084e-01,-9.565564696418678015e-01,9.935556639820370961e-01
1.640000000000000000e+02,-3.164401422931876207e-01,-9.407344625272083816e-01,9.925299454630517326e-01
1.650000000000000000e+02,-3.634768654195480453e-01,-9.225606192562310071e-01,9.915813269206216196e-01
1.660000000000000000e+02,-4.096048963823595845e-01,-9.020803744371129751e-01,9.907195229150405069e-01
1.670000000000000000e+02,-4.547089151042152388e-01,-8.793449286819021715e-01,9.899533832831888258e-01
1.680000000000000000e+02,-4.986761615383103474e-01,-8.544111206049866958e-01,9.892907950143133844e-01
1.690000000000000000e+02,-5.413967175685596711e-01,-8.273412847265586567e-01,9.887385939706224702e-01
1.700000000000000000e+02,-5.827637818048876373e-01,-7.982030956363143082e-01,9.883024877368921102e-01
1.710000000000000000e+02,-6.226739365867033360e-01,-7.670693988069791081e-01,9.879869907496161563e-01
1.720000000000000000e+02,-6.610274065270522748e-01,-7.340180284806264721e-01,9.877953726933866863e-01
1.730000000000000000e+02,-6.977283079510836483e-01,-6.991316130830722564e-01,9.877296209633590340e-01
1.740000000000000000e+02,-7.326848886052372833e-01,-6.624973686528103922e-01,9.877904177822169896e-01
1.750000000000000000e+02,-7.658097570378777919e-01,-6.242068808009164638e-01,9.879771323333464972e-01
1.760000000000000000e+02,-7.970201010779236483e-01,-5.843558757470203036e-01,9.882878280350976263e-01
1.770000000000000000e+02,-8.262378948652746580e-01,-5.430439810037566151e-01,9.887192848406513024e-01
1.780000000000000000e+02,-8.533900939154624998e-01,-5.003744763079834845e-01,9.892670362109164950e-01
